Use Case Name,Custom Metadata Field: Ticket Number,Custom Metadata Field: Jira Ticket,TBD - Workflow Stage or Status,Metadata Field or Question,Purpose of Use Case Description,Purpose of Use Case Description
Ollama ,250,https://jira.autodesk.com/browse/GENAIGOV-250 ,Approved,"Count of users who used commands A , B or C during December of the last 3 years and that are part of the beta program",create SQL queries for self BI ,"Your request to use Ollama to assist in creating personalized sql queries from natural language for internal teams is approved; provided that:

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool in order to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."
OpenAI Point-E,108,https://jira.autodesk.com/browse/GENAIGOV-108,Approved,image - Generate 3d point clouds with Point-e tool and bring the geometry to Autodesk software for further use.,some desciptions of objects ,Please reach out to you Legal Business Partner Alex Gin for their approval.
Oracle Compliance Studio,114,https://jira.autodesk.com/browse/GENAIGOV-114 ,Approved,historically dispositioned alerts (false positives) ,improve efficiency and effectiveness of customer screening process. decrease false positive rate by using oracle's ML to score new screening alerts. ,"Your request to test Oracle Compliance Studio as part of an internal POC (to improve efficiency of the customer screening process) is approved; provided that no confidential, proprietary or personal information of Autodesk is not used to train Oracle products or shared with third parties. Please submit a ticket with Supplier Central to kick-start the POC process and involve your LBP during the POC so that they can assist with any guardrails required in order to comply with Autodesk policies and get the right contractual protections"
ORO Labs,194,https://jira.autodesk.com/browse/GENAIGOV-194,Approved,I want to engage with PWCI want to Engage with a supplier who can help to improvise purchasing experience I want to order a printer from a preferred supplier ,"supplier intake process improvement: identify best supplier, sourcing tool ","Your request to undertake an ORO LABS POC relating to supplier intake process improvement is approved; provided that:
 
a.      You submit a Supplier Central ticket to obtain the appropriate license to use the tool; and
b.      No confidential, proprietary or personal information of Autodesk (business or employee) or our customers/partners is inputted into the tool, whether through prompts or otherwise"
Outset ,216,https://jira.autodesk.com/browse/GENAIGOV-216,Approved,,"survey analysis; leverages conversational AI to conduct and synthesize video, audio and text conversations with hundreds of participants ","Thank you for your request. Your request to use Outset to translate local press coverage is approved; provided that:

You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
You get approval from your Legal Business Partner (Teresa Hu or Susie Berg)."
Phrase Language AI ,137,https://jira.autodesk.com/browse/GENAIGOV-137,Approved,info on adsk websites about products ,translation of products and websites ,Please work with your Legal Business Partner to review the terms for this new feature and for creating guidelines for responsible use
PlayHT ,153,https://jira.autodesk.com/browse/GENAIGOV-153,Approved,The narration scripts of the learning tutorial videos will be the prompts used. ,"ai voice generator for creating tutorial videos on autodesk learn. (scalability of content creation, diverse range of narrating voices) ","The described use case is approved; provided, that you work with your LBP to address potential intellectual property or privacy related issues with respect to sharing of voice or other biometric information. In addition, please ensure that the tool does not train on prompt data or Autodesk (or customer) confidential or proprietary information. If you have not done so, please submit a Supplier Central ticket."
PredictiveSales.com Interactive Forecasting System,199,https://jira.autodesk.com/browse/GENAIGOV-199,Approved,"company information: address, zip code, city, telephone number, specified customer groups, product, services, licenses ","sales and marketing objectives: predict existing customers, identify potential customers, key insights to drive sales, forecasting for optimizing sales strategy and increase profits ","Your request to use PredictiveSales.com Forecasting System to advance Autodesk sales and marketing objectives is approved; provided that:
a.         You submit a Supplier Central ticket in relation to use of the tool, and
b.         No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is used to train any third party ML models. "
Qualtrics ,220,https://jira.autodesk.com/browse/GENAIGOV-220,Approved,,"summarize surveys, sentiment analysis ","Your request to evaluate Qualtrics Insights to generate summaries of customer survey feedback/responses is approved; provided, that:

You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the new feature of Qualtrics, and
No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models."
Quid,195,https://jira.autodesk.com/browse/GENAIGOV-195,Approved,,"sentiment analysis , summarize ","Your request to use Quid to summarize customer sentiment is approved; provided that:
a.         You submit a Supplier Central ticket to put in place a separate written agreement between Autodesk and Quid relating to use of the tool, and
b.        You ensure that no confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is used to train any third party ML models, and"
Rask AI ,263,https://jira.autodesk.com/browse/GENAIGOV-263,Approved, generate localized audio and caption files for English language videos.,"localized audio into over 130 languages and creates timed caption files. combines caption translation, localized narration, and timing in one step. ","Your request to use the Rask AI tool to more efficiently localize audio from video into non-English languages and create correctly timed caption files is approved; provided that,

a. You receive confirmation from your current LBP (Sean Vargas) regarding the proposed use case, which we assume will require an Autodesk Learning team representative to conduct a final review of each customer-facing video prior to publication for compliance with Autodesk policies,

b. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the generative AI tool, and

c. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."""
Relevance AI ,145,https://jira.autodesk.com/browse/GENAIGOV-145,Approved,What do we know about _______?What persona is affected by ______ change in the experience?,"internal workflow enhancement. specific for reesearch workflow (query datasets, insights, hidden patterns/trends, categorizing) ","Your request to use Relevance AI is approved provided you obtain the necessary approvals and licenses through Supplier Central. To the extent that you use a SaaS solution from this vendor, please ensure that (a) you do not share any confidential, proprietary or personal information of Autodesk (business or employee) or our customers/partners with the tool, OR (b) that any such information is not used by the vendor for product improvement purposes or training the tool’s algorithms."
Salesforce Service GPT,132,https://jira.autodesk.com/browse/GENAIGOV-132,Approved,"current knowledge articles, and cases","suite of offerings: customer service replies, work summaries, knowledge articles, sales assistant","Your request to do a POC with Salesforce EinsteinGPT is approved from a Generative AI Utilization review perspective; provided that: customer data is masked, no confidential, proprietary or personal information of Autodesk (business or employee) or our customer/partner is shared for training Salesforce models or improving Salesforce services, and you get all necessary approvals from the Autodesk Security team prior to onboarding the service to Autodesk"
Scribe,166,https://jira.autodesk.com/browse/GENAIGOV-166,Approved,"Record my steps going through a work process in platforms such as Salesforce, Ops, Hub, Identify Customer Portal, SAP/ECC, Pelican, Adyen, Looker etc.","Google Chrome extension: generate step by step guides for documenting work processes. 
",This matter was transferred to Krishnan Krishnaiyer for review as part of to COO generative AI tool review process. Krishnan confirmed that his team will reach out to Andrea Martin.
Sema4.ai,206,https://jira.autodesk.com/browse/GENAIGOV-206,Approved,"request a new laptop, tell me what kind of laptops i am permitted to request ",agentic ai ,"Your request to use Sema4.ai’s Agentic framework to undertake a POC to develop agents that can use conversational AI and take action in our systems is approved; provided that:
a.     You have reviewed and received business and legal approval regarding the scope of the POC, and
b.     You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
c.      No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models."
SEMRush Enterprise,239,https://jira.autodesk.com/browse/GENAIGOV-239,Approved,"n/a
","reporting features for website analytics, traffic, keyword ranking, search engine optimization","Your request to use AI-powered reporting features of SEMRush Enterprise to assist with analyzing and improving SEO activity is approved; provided that:

a. You submit a Supplier Central ticket (including identifying the Generative AI technology enabling the reporting feature) to obtain the appropriate license/entitlement before using the tool, and
b. No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models. Any exceptions to the foregoing require prior written approval by your VP.

Note that any expanded use of SEMRush Enterprise (e.g., other AI-powered features) is subject to a separate Generative AI tool review submission."""
Spellbook,208,https://jira.autodesk.com/browse/GENAIGOV-208,Approved,,legal contract review: compare negotiated contracts against Autodesk-approved templates and guide user through redlining and negotiation process ,You may proceed with a POC for this tool after following the process for onboarding through Supplier Central.
Stable Diffusion,"119, 221 ","https://jira.autodesk.com/browse/GENAIGOV-119, 221 ",Approved,customers input their own prompts ex: Sketch with orthogonal views of modern office chair in the style of rocketship,"project salvador (plug in on Fusion) which generates 2D images for concept inspiration for industrial designers, fine tune foundational models for generating 3d mesh ","You may use Stable Diffusion technology in your project - however, please ensure that your choice of vendor/tool considers the terms of use and contractual protections and confidentiality obligations we have with customers. Please work with your Legal Business Partner on choice of vendor and submit a ticket in Supplier Central once you have made a selection."
Supademo ,255,https://jira.autodesk.com/browse/GENAIGOV-255,Approved,,"create interactive product demos (creates interactive videos, translates voiceovers into different languages, add explanations, click instructions, make a demo) ","Your request to evaluate Supademo to create interactive product demos for an internal audience is approved; provided that:

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the generative AI tool, and
b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."""
Swimm,219,https://jira.autodesk.com/browse/GENAIGOV-219,Approved,,"generate developer documentation (help answer questions from developers: class diagrams, flow diagrams) ","Thank you for your request. Your request to evaluate Swimm to generate developer documentation for internal use by Autodesk developers as they use the repo (code) and documentation to further their understanding of the Libraries platform solution is approved; provided, that:

You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models."
Tableau GPT,156,https://jira.autodesk.com/browse/GENAIGOV-156,Approved,Give me sales numbers for company A ,create analytic metrics with customer data on Salesforce. ,"The described use case is approved; provided, that Autodesk data is not used to improve Tableau GPT or train any models of vendor, and the security of Autodesk confidential information is not compromised. If you have not done so, please submit a Supplier Central ticket. If you have been directed here by SC, please proceed with Privacy, Security and Legal review, each as applicable in relation to this Generative AI tool."
Tableau Pulse ,235,https://jira.autodesk.com/browse/GENAIGOV-235,Approved, How does today's headcount compare to this time last year? What is the average attrition rate across the org (or in a specific team)?,"data insights, personalized digest of metrics in Tableau ","Your requested use case (i.e., to use Tableau Pulse to improve the user experience of the People dashboard by Autodesk employees) is approved; provided that:

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool and consult with your Legal Business Partner, and
b. No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models. Any exceptions to the foregoing require prior written approval by your VP."
WellSaid,192,https://jira.autodesk.com/browse/GENAIGOV-192,Approved," inputting our scripts that have been written by our technical writers, into WellSaid, which will then create an AI voiceover. ",voiceover generator for online learning courses,"Please look at whether ElevenLabs will work for your use case as we already have a license for this service. Please reach out to Supplier Central to confirm.
If existing voiceover tools will not work for your use case, you may may use the WellSaid service for voiceover work for external facing online learning courses provided that:
a.      You submit a Supplier Central ticket to obtain the appropriate license to use the tool; and
b.      Autodesk confidential and proprietary data is not used to train any third party ML models; and|

To the extent you wish to include any output in any external-facing communications/materials, you include appropriate notices informing customers that voices have been generated by AI."
WeLocalize ,259,https://jira.autodesk.com/browse/GENAIGOV-259,Approved,,improve localization process ,"Your request to use the WeLocalize solution to improve your localization process is approved; provided that,

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the solution, and

b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."""
Wonder Studio - Character Generation,258,https://jira.autodesk.com/browse/GENAIGOV-258,Approved,customer's image prompts,enable customers to create 3d representations of 2d character images ,"Your request to use the Character Generation feature of Wonder Studio to enable customers to create 3D representations of character images put by customers is approved; provided that:

a. You review your use case with your LBP for further guidance and approval, and
b. You submit an OSS review request according to Autodesk product development guidelines and receive approval before using the generative AI tool. """
Yabble ,228,https://jira.autodesk.com/browse/GENAIGOV-228,Approved,survey questionnaire for research ,"creating synethetic data, ask questions to the persona based chatbot questions related to the study ","Please work with your LBP, Alex Gin, to fully outline your POC use cases and objectives. Subject to the foregoing, your request to conduct the POCs is approved; provided that:

You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models."
Zephyr 7B,218,https://jira.autodesk.com/browse/GENAIGOV-218,Approved,show me number of doors in my design ,chatbot to allow users to extract information from their ACC models and perform operations (issue creation) ,"Your request to use Zephyr 7B- Open Source LLM Model with MIT License to build an AI chatbot webapp that allows users to extract information from their ACC models and perform operations (e.g., issue creation) through natural create thought leadership images, is approved; provided that:

You get approval from your Legal Business Partner on use of the model and how it is integrated into a customer facing product, and
You log this component in our third party component review tool, Lecorpio."
Zoom AI Companion ,138,https://jira.autodesk.com/browse/GENAIGOV-138,Approved,generate summary of meeting,"generate summary after meeting has ended. allow hosts and guests to ask the AI Companion questions based on the meeting transcript. zoom does not use any audio, video, chat screensharing, attachments or communications-like content to train zoom and their third party models ",Please work with Supplier Central prior to starting a POC for these Zoom features. Please work with your Legal Business Partner. Using customer content in generative AI features requires VP approval.
Zoom Virtual Agent,134,https://jira.autodesk.com/browse/GENAIGOV-134,Approved,"customers type in prompts for help: basic how-to questions for reporting product refect, issue encountered in software ","self help for customers, ability to create support tickets, live chat option for customers, quick links, FAQs","Please work with your Legal Business Partner on your use case. Note that if customer content is processed by generative AI tools, that would require VP approval"
Comet,249,https://jira.autodesk.com/browse/GENAIGOV-249,Denied,n/a,n/a,There is not enough information about your use case (including example prompts) to provide a response at this time. Please resubmit your request with the required information.
DeepSeek R1,276,https://jira.autodesk.com/browse/GENAIGOV-276,Denied,"Giving a sample Inp file represent for Water network, can you help check whether we can further simply this network? Considering use python package WNTR.Giving there is a error, Can you help me to figure out the root cause of this error and list out the steps to resolve it?Whether my current design satisfy the regulation document? If not, which code and why?","DeepSeek R1 reach same performance as O1.  A Self-hosted O1 maybe more cost effective than Azure openAI O1 model. We want to download its weight and explore the cost of self-hosted R1 in AWS cloud. And compare it with the cost of Azure openAI O1.Besides, Deepseek R1's paper shows the power of model distillation. That is use the response from Big model's like GPT O1 and DeepSeek R1 to fine-tune smaller model like Llama3.1. To explore this distillation technics and reasoning model capability. I might need to host the model DeepSeek R1 and distilled Llama 3.1 model.","Due to the number of security and vulnerability issues with DeepSeek's open model, the use of this model (local or through Bedrock) has been declined. "
Google Gemini,275,https://jira.autodesk.com/browse/GENAIGOV-275,Denied,"Please revised the attached document (from our library on DAMS, or one I created in our Fusion products) and add to it line work to make it appear as if a 3D drawing was overlaid.","I want use generative AI to create images that combine images I capture from our products such as Fusion with artistic qualities such as watercolor look, 3D drawing over lays, and such.",[^RE_ GenAI Request - GENAIGOV-275.pdf]
Grok,298,https://jira.autodesk.com/browse/GENAIGOV-298,Denied,n/a,"Recently I can hear that Grok is much way smarter and shows better outcome when asked same question.Instead of AutodeskGPT based on ChatGPT, can't we change to Grok?it has better caculation, and shows much better organized answers to the questions.seems like chatgpt was kid, and Grok is like talking to Graduate school student.Please note, I'm not going to use Grok for work purpose at all, for now before company's poilcy","Thank you for your input. This is the first request we’ve received regarding the use of Grok. We are currently monitoring organizational interest in this solution, and should there be sufficient demand, we will explore the possibility of pursuing an enterprise license.
 
In the meantime, please refer to the list of pre-approved large language model (LLM) solutions currently available at Autodesk. This list will continue to expand over time as additional models are evaluated and approved."
Napkin AI,285,https://jira.autodesk.com/browse/GENAIGOV-285,Denied,"no prompts needed, we include the text that we want to get visualized. The text might include for example how we want our team to develop further, why is it important to talk about value, what are should we focus on in FY26 as a team, what are our policies when it comes to timesheet submission. To name a few examples that we do training and presentations on. ","Napkin.ai converts text into great visuals. You do not need any prompts, you just paste the text / bullets in the tools and you can select from different visuals which one you like to use and you can customize it. The tool is easy to use, saves time and improves presentations. Me and my team (ECS Process Team) would like to use it for internal use only. We are creating PowerPoint presentations every day as we are training our ECS people on processes. With this tool we would have more engaging presentations and trainings and save time on preparation of those. As said, no customer data is involved here, we are talking about internal processes and policies, like how to use different tools. ","Closing ticket due to the organizational restructure, roles and responsibilities have changed and we do not plan to use napkin.ai.  Please see attached email from team.  "
NotebookLM,309,https://jira.autodesk.com/browse/GENAIGOV-309,Denied,"I would use our final script, which is still a work in progress (please request for a draft if necessary). ","I am the Brand Engagement Coordinator for the Technology Center, Boston. Part of my responsibilities is to create content surrounding the tour script and train ambassadors on that content. The script is all approved by Comms Teams and is information that has already been shared with external guests. The AI I am requesting is a free service that would take the script and make it conversational and a great resource for ambassadors to use to train on the go. I would look to integrate this into the training at my Tech Center, and if it's successful, roll it out to the ambassador program in SF for the Gallery and Tech Center. Additionally, adding it as a resource for the AU ambassadors to learn their scripts. ","Trusted AI do not recommend the use of individual licenses for this solution due to the outlined concerns, including lack of contractual safeguards, insufficient oversight, and inadequate data protection measures. All third-party tool requests must be supported by baseline data protection terms to ensure appropriate handling of enterprise data and mitigate associated risks.  "
Recollective,178,https://jira.autodesk.com/browse/GENAIGOV-178,Denied,"Please make a list of key take-aways from this meeting, what issue did you have with XYZ feature?",AI-powered Transcripts of video meetings with customers Summarizing video meetings and noting key takeaways Question answering by finding text within the video meeting to support the answer topic detection ,"Thank you for your request. Please work with your Legal Business Partner to review your use case and the legal terms governing use of this Generative AI tool, and submit a Supplier Central ticket in relation to this tool. Note that using customer content and employee personal data in generative AI features requires VP approval. "
Spoke.ai,203,https://jira.autodesk.com/browse/GENAIGOV-203,Denied,"n/a
","Spoke.ai would be able to summarize important slack channel messages and send a summarized digest at the end of the week to the users in the Building Infrastructure Design (BID) group. I want to install Spoke.ai into my Slack and start testing this option in order for us to see if we can implement it on the entire org. if proven successful. Spoke.ai solves the problem of information overload in the workplace. Spoke.ai leverages generative AI – the technology key to Chat GPT’s hype with custom-built NLP technology – to aggregate, prioritize, and summarize information, cutting through the noise to create context. Spoke.ai integrates deeply with the tool stack of modern teams (incl. Slack, Jira, Github, Miro,Figma and Notion), to provide a powerful experience across two areas:● Smart Inbox & Outbox: Prioritize and summarize notifications across tools to reach inbox zero faster than ever without missing anything● Generative Knowledge Base: Semantic search that connects tickets, documents, and conversations across tools to provide an always up-to-date source of truth in summarized form. ","Based on your responses to the intake questions, please review your use case with your Legal Business Partner, Jackie Cheng, and resubmit the request providing clarification regarding: (1) whether Spoke is an existing solution provider and, if so, whether the request pertains to enabling a new feature for the purpose described, (2) Hosting Status (By “Other,” do you mean Self- hosted?), and (3) Prompts (What are examples of Prompts you’ll submit to obtain the sought-after outputs?)."
Thrive,274,https://jira.autodesk.com/browse/GENAIGOV-274,Denied,recording of employee interview,"Thrive is a workplace investigation team in PPL and we are seeking support for conducting transcription of employee interviews. As such, we are currently reviewing the possibility of using a service provided by a company called Amberscript (Amberscript: Audio & Video Transcription | Speech-to-text ), which is a transcription service powered by AI. We understand that this service uses an AI tool to turn a recorded employee interview into a written transcription. This is a pilot to test viability: it is proposed that we trial this service for a 3 month period in EMEA countries. The pilot will be limited to investigators within the Thrive team.","Thank you for sharing the details of your use case. Given that Amberscript AI is currently in its pilot stage, our Trusted AI team will need to be involved once your team decides to acquire this service.   
Once your team is ready to acquire after the POC/pilot we will need to conduct a series of due diligence analyses to ensure that all prompts and inputs, as well as the models being used by Amberscript AI are compliant with Autodesk's AI policy for responsible AI development. 
Due to the nature of your use case, please ensure that no sensitive information is disclosed during your pilot session. 
Once the business decides to move forward, please register your use case using the updated link provided below. This link will facilitate the necessary evaluation of the risk posture of the AI techniques and models employed by Amberscript AI."
Airtable ,308,https://jira.autodesk.com/browse/GENAIGOV-308,Ongoing,Please automatically tag and pre-sort in-take requests based on the admin platform framework.Please read through all take-in requests and pinpoint areas of improvement and cross reference that with user workflows and output the top three key areas to focus on for each industry cloud solution Autodesk is developing. ,Team would like to have ai automatically tag and categorize team in-take requests from other internal teams. Ai would also drive inferences and analytics to help identify keys areas for the team to improve the product. ,
Airtable AI ,301,https://jira.autodesk.com/browse/GENAIGOV-301,Ongoing,Please tag the database items with the criteria defined [insert tags and criteria here ]Please review the items in the database and list the top 5 issues / concerns of our customersPlease review the items in the database and determine which sub-system is identified as  causing the most issues,"Analysis of Support Cases, Feature Requests, Bugs.",
Anyword,282,https://jira.autodesk.com/browse/GENAIGOV-282,Ongoing,We will utilize multiple prompts based on the marketing use case - e.g. to generate optimized headlines for more accurate results for our campaigns. An example LinkedIn ad prompt - Create a LinkedIn ad to promote our recent blog post about [Blog Post Topic]. Ensure the ad is written in a way that engages [Target Audience] and highlights key points or benefits such as [Key Points/Benefits]. Align the content with LinkedIn ad character limits and guide the audience towards [Intended Action].,"Anyword will be used to support the following: Implementation within Key Verticals:Initiate the engagement with the three verticals in IPM: M&E, D&M & AECO to demonstrate the impact of AI-driven content insights and optimizations.Real-Time Content Optimization:Utilize Anyword's predictive performance insights to optimize content in real-time, ensuring that our content resonates with the intended audience before, during, & after channel deployment.Content Center of Excellence (CoE) Integration:Integrate Anyword's AI capabilities into our newly forming Content CoE to centralize and streamline content operations, enhancing collaboration and visibility across  teams.Global Campaign Enhancement:Leverage Anyword's multi-language capabilities to create and optimize content across key global markets, reducing our dependency on external translation services and enhancing global campaign effectiveness.",
Azure OpenAI ,294,https://jira.autodesk.com/browse/GENAIGOV-294,Ongoing,"We believe the prompts will be simple ones like ""port this"". The interesting part will be happening during fine tuning when source files from the AutoCAD repo will be presented to the AI showing ""before"" and ""after"" states. ","Over past 10 years, we have made 1000s of changes in the https://git.autodesk.com/AutoCAD/autocad repo with the goal to move our code from Windows to Web. We now need to do similar things in the https://git.autodesk.com/Civil3D/Civil3D repo.We want to fine tune an LLM with thousands of ""before"" and ""after"" .cpp/.h files from the AutoCAD repo such that when we prompt the AI with a Civil3D .cpp/h file and say port this"" it will attempt to make similar changes.",
BigPanda Biggy AI ,312,https://jira.autodesk.com/browse/GENAIGOV-312,Ongoing,"Ask questions using natural language Create incident channelsTroubleshoot an active incident Determine priority, impact, and teams involvedIdentify and notify on-call teamsInvestigate and find resolution stepsGenerate summaries and reports"," Biggy AI brings you AI-powered incident management by uncovering hidden data, transforming it into insights, and delivering it in natural language. Biggy AI accelerates incident investigation by combing through infrastructure data and knowledge to surface highly relevant insights that help the team make smarter decisions, improve productivity, and scale incident management.Biggy AI provides insights and automated workflows that allow you to investigate active incidents faster while identifying gaps that will harden the infrastructure from future issues. Biggy AI unifies all teams involved in incident response and the data those teams require to conduct an investigation. By combining observability data, service history, and institutional knowledge, Biggy AI surfaces hidden context and gives you situational awareness on incidents, including:Incident impact, priority, assignment, and other common troubleshooting questions Self-service access to past incidents, resolutions, and team engagementsSuggested remediation steps and potential root causeBiggy AI is available for Slack or Microsoft Teams so you can ask questions right where you work and receive answers in easy-to-understand",
Centercode TED AI ,311,https://jira.autodesk.com/browse/GENAIGOV-311,Ongoing,internally generated,As an included service of Centercode's internal AI  ,
ChatPRD ,289,https://jira.autodesk.com/browse/GENAIGOV-289,Ongoing,"Using the Autodesk template, please create a PRD for the feature 'due date remainders' in ACC ","Improve product manager's productivity by assisting with PRD creation, research, ideation and collaboration ",
ContentQuo AI,317,https://jira.autodesk.com/browse/GENAIGOV-317,Ongoing,n/a,"ContentQuo is a Translation Quality Management System (TQMS) for corporate Localization teams, Public Sector translation departments, and their LSPs.ContentQuo AI features are LLM-agnostic and can be powered by any commercially available LLM (such as OpenAI GPT or Google Gemini) as well as by open-source LLMs such as DeepSeek.An AI agent in ContentQuo will help analyze linguistic quality metrics, deliver insights & recommendations, and help to generate reports.An AI agent in ContentQuo will be used in translation quality evaluations, comment summarization, vendor feedback sentiment analysis, etc.reviewcomment summarization, vendfeedback sentiment analysis",
Github Copilot Eclipse ,280,https://jira.autodesk.com/browse/GENAIGOV-280,Ongoing,"I'd like to use Github Copilot for  Business, but based on this wiki page there's not yet an approved plugin for Eclipse, which is the programming IDE that I use. I'm submitting this request as part of the approval process for Copilot4Eclipse, a 3rd-party plugin which connects Eclipse with Github Copilot. I would be using this tool to support my programming work, which mostly involves writing automated tests for services which are used internally in Autodesk. However, ideally this plugin will be approved for other developers at Autodesk to use in their work, which would have the same broad scope as anyone else at Autodesk who is using Github Copilot for coding assistance.","I'd like to use Github Copilot for Business, but based on this wiki page there's not yet an approved plugin for Eclipse, which is the programming IDE that I use. I'm submitting this request as part of the approval process for Copilot4Eclipse, a 3rd-party plugin which connects Eclipse with Github Copilot. I would be using this tool to support my programming work, which mostly involves writing automated tests for services which are used internally in Autodesk. However, ideally this plugin will be approved for other developers at Autodesk to use in their work, which would have the same broad scope as anyone else at Autodesk who is using Github Copilot for coding assistance.",
Hackerone,319,https://jira.autodesk.com/browse/GENAIGOV-319,Ongoing,Simplify this report to the main points- Create a diagram of the attack path used in this vulnerability.,"Use it to simplify vulnerability reports from 3rd party researchers, including creating diagrams of attack paths. ",
Kalcium QuickTerm,303,https://jira.autodesk.com/browse/GENAIGOV-303,Ongoing,no prompts entered,"The way Kalcium QuickTerm  implemented AI functionality is that it connects to the customer's AI provider, they do not provide their own. So that means if Autodesk already has an approved e.g. Azure OpenAI account (Copilot), then we can connect Kalcium to that account and it will use it. Put in a different way: They don´t do any AI on their end, this all happens in Autodesk account.TermCatch (the extraction software) is different. There they use a self-trained and self-hosted AI engine which is specifically trained on term extraction and synonym clustering.",
LLama 3 ,306,https://jira.autodesk.com/browse/GENAIGOV-306,Ongoing,Analyze the following code (context) and propose replacement Vec3d with XYZ.Analyze the following code  (context) and describe the methods purpose and assumptions at a high level as code comments.Analyze the following code (context) and write unit tests.,"I would like to experiment with potential use of AI to help automate source code refactoring and increase documentation, code health, unit tests coverage...I would like to experiment with Revit source code.",
Lovable Dev,299,https://jira.autodesk.com/browse/GENAIGOV-299,Ongoing," We have not fully developed the prompt, but I can provide a early stage draft: Create a Voice of Customer (VoC) dashboard that presents data from various sources, including CSAT (Customer Satisfaction), PSAT (Product Satisfaction), customer feedback, support tickets, feature requests, and forum discussions. The dashboard should help address the current challenge of inconsistencies and misalignment in our feedback data, and contribute to more efficient and data-driven decision-making.","The Unified Design team  within the AEC Design organization has set an FY26 target to increase the adoption of Autodesk Forma from 6,000 to 15,000 Commercial MAUs. To achieve this goal, we need to scale our adoption efforts to acquire new users and retain existing ones. We believe that exploring solutions to automate and improve data collection, analysis, and presentation of Voice of Customer data will enhance our team's ability to prioritize efforts effectively.One solution we are exploring is Lovable.dev (https://lovable.dev/). Lovable is a low-code/no-code platform that allows users to build fully functional web applications using natural language. It simplifies the process of creating and customizing apps by integrating with popular tools like Supabase and GitHub. With Lovable, teams can rapidly prototype and deploy applications, making it easy for both technical and non-technical users to collaborate on projects. More information about the product can be found here: https://lovable.dev/gpt-engineer.Our first step will be to run a Proof of Concept (PoC) using dummy data to evaluate the tool. This will include a clear plan on how to conduct and measure the success of the PoC.Our first initiative will be to build a dashboard of Voice of Customer data. By adopting Lovable, we can centralize and streamline the process of collecting, analyzing, and organizing VoC data. Lovable will serve as a dedicated platform to manage all feedback in one place, ensuring that we have a clear, cohesive understanding of customer needs and concerns. This will facilitate more data-driven decision-making for and ensure that user feedback is always accessible and actionable. We do assume that there may be more relevant use cases in longer term, in addition to the Voice of Customer effort. ",
